date,Price,,
2016/1/6,-6.393838159,,說明：1/6跌特別多，要找的是1/5的文章
2016/1/7,-9.249529097,,
2016/1/11,-2.108147992,,
2016/1/20,-3.004001871,,
2016/1/26,-2.565178618,,
2016/2/1,-3.45059493,,
2016/2/3,-5.66318136,,
2016/2/17,-0.707597361,,
2016/2/19,0.225040917,,
2016/2/24,-1.729261045,,
2016/3/7,-2.08167284,,
2016/3/10,-2.514625401,,
2016/3/15,-4.617648332,,
2016/3/22,-3.50262697,,
2016/3/23,-1.814882033,,
2016/4/1,-2.428135392,,
2016/4/6,-4.150714352,,
2016/4/12,-4.306916287,,
2016/4/28,-2.478262891,,
2016/4/29,-2.541241537,,
2016/5/3,-8.262805147,,
2016/5/4,-4.500853242,,
2016/5/6,-5.420985533,,
2016/5/11,-1.963596249,,
2016/5/19,-1.719657174,,
2016/6/2,-3.152559554,,
2016/6/8,-1.284589752,,
2016/6/13,-4.349102294,,
2016/6/16,-1.952648279,,
2016/6/24,-1.974041356,,
2016/7/5,-4.108865108,,
2016/7/6,-3.265362359,,
2016/7/20,-0.833034755,,
2016/7/21,-1.052298799,,
2016/7/27,-0.414789706,,
2016/8/4,-2.611698683,,
2016/8/11,-0.601943417,,
2016/8/19,-1.999312065,,
2016/8/22,-1.224060018,,
2016/8/24,-0.616134752,,
2016/9/2,-2.192625583,,
2016/9/9,-2.196953443,,
2016/9/10,-2.040100031,,
2016/9/26,-1.418686627,,
2016/9/30,-1.6421666,,
2016/10/6,-1.418686627,,
2016/10/7,-1.024146912,,
2016/10/13,-1.043532784,,
2016/10/20,-0.840032517,,
2016/10/26,-1.030654222,,
2016/11/4,-4.440505409,,
2016/11/9,-3.286030833,,
2016/11/11,-3.152084443,,
2016/11/21,-1.761530448,,
2016/11/24,-1.769322235,,
2016/12/14,-1.533540314,,
2016/12/19,-0.884661118,,
2016/12/20,-2.005854408,,
2016/12/21,-1.371137554,,
2016/12/29,-0.91991342,,
2017/1/9,-1.363169981,,
2017/1/10,-1.154150981,,
2017/1/13,-0.92133941,,
2017/1/16,-2.094790521,,
2017/1/18,-0.936461585,,
2017/2/2,-4.214077132,,
2017/2/8,-2.065973078,,
2017/2/15,-0.232811571,,
2017/2/23,-0.443300443,,
2017/2/24,-0.225031121,,
2017/3/3,-1.789063627,,
2017/3/9,-1.80119111,,
2017/3/23,-1.540278762,,
2017/3/29,-1.793116745,,
2017/3/31,-1.603699331,,
2017/4/6,-1.363169981,,
2017/4/11,-2.303348524,,
2017/4/14,-0.469317723,,
2017/4/17,-0.4715307,,
2017/4/26,-0.699930007,,
2017/5/3,-1.353908866,,
2017/5/8,-1.622294103,,
2017/5/9,-2.114421569,,
2017/5/16,-1.398145828,,
2017/5/22,-1.643988062,,
2017/6/1,-0.86928074,,
2017/6/9,-1.375370292,,
2017/6/23,-2.030778994,,
2017/6/28,-2.225407062,,
2017/6/30,-2.615928635,,
2017/7/4,-1.494816363,,
2017/7/7,-1.183844011,,
2017/7/10,-1.202172201,,
2017/7/18,-1.376389624,,
2017/7/21,-1.348485455,,
2017/8/3,-2.998583618,,
2017/8/14,-2.09450645,,
2017/8/15,-3.038714931,,
2017/8/18,-1.657395413,,
2017/8/29,-1.656678246,,
2017/9/6,-2.862545886,,
2017/9/12,-1.255525426,,
2017/9/22,-2.556497175,,
2017/9/26,-1.223319297,,
2017/9/29,-2.232985505,,
2017/10/2,-1.201692324,,
2017/10/17,-1.532299084,,
2017/10/18,-2.027506941,,
2017/10/20,-1.103506991,,
2017/10/27,-2.510562733,,
2017/11/6,-2.091260634,,
2017/11/9,-1.632326219,,
2017/11/13,-2.60681587,,
2017/11/20,-2.884191986,,
2017/11/30,-2.540587433,,
2017/12/1,-3.372965412,,
2017/12/6,-9.904184591,,
2017/12/13,-1.68761598,,
2017/12/15,-1.553662204,,
2017/12/26,-2.437439064,,
2018/1/5,-2.2820106,,
2018/1/11,-1.131797482,,
2018/1/17,-1.7605049,,
2018/1/24,-3.301394864,,
2018/1/30,-2.920690467,,
2018/2/5,-1.807228916,,
2018/2/6,-4.180097744,,
2018/2/9,-1.047253225,,
2018/2/22,-0.823633517,,
2018/2/26,-1.331218099,,
2018/3/5,-2.480386447,,
2018/3/14,-1.725090153,,
2018/3/21,-1.897240378,,
2018/3/23,-2.381172697,,
2018/3/28,-2.771725974,,
2018/4/3,-2.525485848,,
2018/4/12,-2.213322735,,
2018/4/20,-1.664510565,,
2018/4/24,-2.566528681,,
2018/4/26,-4.007011501,,
2018/5/2,-2.645776816,,
2018/5/3,-3.32508845,,
2018/5/7,-2.152317881,,
2018/5/11,-3.035163867,,
2018/5/17,-2.823170137,,
2018/6/5,-1.365037428,,
2018/6/12,-2.55587071,,
2018/6/13,-1.081150241,,
2018/6/14,-1.713823767,,
2018/6/26,-4.35276812,,
2018/7/5,-5.536620992,,
2018/7/23,-3.035714286,,
2018/7/24,-6.077348066,,
2018/7/30,-2.803738318,,
2018/7/31,-2.307692308,,
2018/8/2,-2.181818182,,
2018/8/13,-4.007285974,,
2018/8/15,-1.886792453,,
2018/8/16,-4.807692308,,
2018/8/31,-1.7578125,,
2018/9/7,-2.745098039,,
2018/9/10,-2.217741935,,
2018/9/13,-0.819672131,,
2018/9/20,-2.857142857,,
2018/9/26,-0.821355236,,
2018/10/5,-3.099173554,,
2018/10/9,-2.141327623,,
2018/10/11,-7.877461707,,
2018/10/23,-3.386004515,,
2018/10/26,-3.80952381,,
2018/11/1,-1.758241758,,
2018/11/9,-2.765957447,,
2018/11/13,-1.492537313,,
2018/11/16,-4.967602592,,
2018/11/29,-2.114164905,,
2018/12/5,-2.976190476,,
2018/12/6,-6.134969325,,
2018/12/10,-1.927194861,,
2018/12/20,-4.661016949,,
2018/12/25,-1.777777778,,
