date,Price
2016/1/8,3.637753987
2016/1/19,3.097036918
2016/1/29,2.88882878
2016/1/18,2.437016302
2016/1/30,1.635206898
2016/2/18,4.763435675
2016/2/22,3.85793019
2016/2/25,3.306235749
2016/2/16,2.918469036
2016/2/15,2.751209632
2016/3/14,7.885890373
2016/3/11,3.653874074
2016/3/3,2.562992883
2016/3/30,2.255014987
2016/3/18,2.179144385
2016/4/26,3.72600306
2016/4/14,2.435008233
2016/4/27,2.32657722
2016/4/13,1.576279777
2016/4/15,1.300599152
2016/5/10,4.081749813
2016/5/23,3.960561497
2016/5/9,2.086385747
2016/5/30,1.88509399
2016/5/31,1.616340107
2016/6/29,3.709709119
2016/6/4,2.738529518
2016/6/30,2.73842801
2016/6/15,2.445489098
2016/6/14,2.27086743
2016/7/4,4.284926977
2016/7/11,3.777420575
2016/7/26,2.117872108
2016/7/15,1.91190596
2016/7/28,1.666069509
2016/8/5,2.681737589
2016/8/1,2.260186289
2016/8/30,1.842082124
2016/8/25,1.244369118
2016/8/9,0.605588719
2016/9/5,4.483558825
2016/9/19,1.461659546
2016/9/20,1.236702128
2016/9/23,0.816040012
2016/9/13,0.627766236
2016/10/25,2.100081293
2016/10/17,1.90437233
2016/10/5,1.645508028
2016/10/24,1.06348989
2016/10/31,1.054537226
2016/11/17,2.547897487
2016/11/18,2.479739894
2016/11/22,2.467945628
2016/11/7,2.211652794
2016/11/14,1.629837016
2016/12/8,2.221479075
2016/12/1,1.353908866
2016/12/15,1.332887445
2016/12/6,1.115760112
2016/12/27,0.925603384
2017/1/17,1.424705101
2017/1/23,1.417971132
2017/1/5,0.925603384
2017/1/6,0.917114541
2017/1/19,0.711526733
2017/2/17,3.685357638
2017/2/7,2.829184201
2017/2/6,2.414580953
2017/2/3,1.224704336
2017/2/9,0.704863559
2017/3/10,1.834229081
2017/3/10,1.834229081
2017/3/21,1.769322235
2017/3/16,1.353908866
2017/3/27,0.448279186
2017/4/5,2.324767523
2017/4/27,1.641325143
2017/4/12,0.9430614
2017/4/19,0.708179473
2017/4/18,0.708099847
2017/5/25,5.545901395
2017/5/24,4.082476358
2017/5/11,2.149763423
2017/5/2,2.07549039
2017/5/17,0.711526733
2017/6/21,4.658540658
2017/6/5,3.185905336
2017/6/7,2.856140043
2017/6/2,2.635425015
2017/6/26,1.506072874
2017/7/19,3.984474999
2017/7/11,2.836403306
2017/7/3,2.686197648
2017/7/27,1.54455604
2017/7/28,1.331914726
2017/8/1,9.962208283
2017/8/2,2.56164966
2017/8/11,2.139314531
2017/8/21,1.685327961
2017/8/28,0.928494375
2017/9/14,4.364047484
2017/9/5,3.135875177
2017/9/30,2.458837243
2017/9/27,1.947741722
2017/9/15,1.740512043
2017/10/13,6.095270616
2017/10/11,5.153317426
2017/10/26,3.200733041
2017/10/23,2.3938812
2017/10/31,2.39187012
2017/11/7,2.897405921
2017/11/17,2.810024252
2017/11/14,2.676589633
2017/11/22,1.554554232
2017/11/27,1.379704985
2017/12/8,2.95591363
2017/12/29,2.797506885
2017/12/19,2.260192495
2017/12/4,1.585787136
2017/12/11,1.183431953
2018/1/18,4.240067625
2018/1/3,3.089558076
2018/1/4,2.162367223
2018/1/9,2.013632886
2018/1/10,1.810247844
2018/2/21,6.843636364
2018/2/1,2.675817129
2018/2/27,1.516952115
2018/2/12,0.706778482
2018/2/8,0.524551945
2018/3/26,5.791652185
2018/3/19,5.361579704
2018/3/8,3.1678585
2018/3/30,2.717680579
2018/3/20,2.544371354
2018/4/18,6.471179931
2018/4/27,4.946339901
2018/4/11,3.670015529
2018/4/16,1.785879523
2018/4/13,1.3568012
2018/5/22,2.069443528
2018/5/8,2.043472602
2018/5/4,1.719726657
2018/5/18,0.969510564
2018/5/9,0.921556122
2018/6/4,3.290991196
2018/6/1,2.408756696
2018/6/6,1.84630102
2018/6/29,1.008444413
2018/6/11,0.756862006
2018/7/25,2.941176471
2018/7/10,2.752293578
2018/7/12,2.536231884
2018/7/27,1.711026616
2018/7/2,1.668566691
2018/8/1,8.267716535
2018/8/23,2.222222222
2018/8/3,1.858736059
2018/8/28,1.818181818
2018/8/29,1.587301587
2018/9/21,2.100840336
2018/9/28,2.070393375
2018/9/4,1.603206413
2018/9/14,1.446280992
2018/9/11,0.618556701
2018/10/31,9.903381643
2018/10/12,4.513064133
2018/10/29,2.97029703
2018/10/1,1.419878296
2018/10/17,1.126126126
2018/11/26,2.702702703
2018/11/12,2.625820569
2018/11/30,2.591792657
2018/11/7,2.173913043
2018/11/28,1.939655172
2018/12/3,3.368421053
2018/12/4,2.647657841
2018/12/27,2.272727273
2018/12/12,2.192982456
2018/12/28,2.0
